,NQ1 Index,WN1 Comdty,Total,,,,,,
Total PnL,48414320.0,19555537.5,67969857.5,,,,Settings: ,Settings: ,18102024_1952
Average Ann. PnL,3280561.6133369184,1325086.1656359236,4605647.778972842,,,,byac,False,
Average Ann. Vol,2681546.402337549,1932344.2058003717,3301398.8501201915,,,,byassets,True,
Sharpe Ratio (ann.),1.2233842421959205,0.6857402328520847,1.3950594848014708,,,,totalsys,True,
Sortino Ratio (ann.),0.678267629834803,0.3681331433285693,1.0427531604680154,,,,filter_assets,[],
Max drawdown,6801160.0,3891375.0,4322165.0,,,,filter_ac,[],
Average drawdown,1267521.5545243619,1240581.1817541388,1064005.1252371916,,,,start_date,01012000,
Max drawdown Duration,719.0,780.0,295.0,,,,end_date,,
Avg Drawdown Duration,33.58441558441559,70.975,24.174311926605505,,,,,,
Total Number of Drawdowns,77.0,40.0,109.0,,,,,,
Drawdowns per year,5.2175315945146545,2.710406023124496,7.385856413014251,,,,,,
HWM PnL,48523525.0,21044700.0,68669720.0,,,,,,
Exposure Time,3719.0,3719.0,3719.0,,,,,,
Num_Trades,272.0,438.0,710.0,,,,,,
Hit Rate (%),72.79411764705883,57.76255707762557,63.521126760563384,,,,,,
Average Win,442719.9494949495,233224.55533596838,325198.14301552105,,,,,,
Average Loss,-530327.4324324324,-239941.1867977528,-325213.33829365077,,,,,,
W/L ratio,0.8348049194143002,0.9720071757941003,0.9999532759689088,,,,,,
Total Wins,198.0,253.0,451.0,,,,,,
Total Losses,74.0,178.0,252.0,,,,,,
Total PnL Winners,87658550.0,59005812.5,146664362.5,,,,,,
Total PnL Losers,-39244230.0,-42709531.25,-81953761.25,,,,,,
Profit Factor,2.2336672168112357,1.3815607611006033,1.7895989184999122,,,,,,
PnL Skew,-1.199349427914136,-0.1258375930208479,-0.760402032897465,,,,,,
Trade EV,177993.82352941178,37206.12157534246,91141.69190140846,,,,,,
Best Trade,1326885.0,1268312.5,1326885.0,,,,,,
Worst Trade,-1935115.0,-1009031.25,-1935115.0,,,,,,
25p Trade,-58747.5,-144250.0,-124546.875,,,,,,
50p Trade,300595.0,60218.75,125952.5,,,,,,
75p Trade,520383.75,225773.4375,344036.25,,,,,,
Pareto Number (%),18.38235294117647,4.5662100456621,9.71830985915493,,,,,,
Daily PnL Skew,-0.3184158240670778,0.6034531551247798,-0.16562004312768405,,,,,,
Weekly PnL Skew,-0.7742941241453184,0.00845401933461451,-0.44684943668361826,,,,,,
Monthly PnL Skew,-0.617198945044387,-0.1932061768560965,-0.32394836658227294,,,,,,
Quarterly PnL Skew,-0.49645687537321553,-0.11014405904198389,-0.1576660225580973,,,,,,
Yearly PnL Skew,-0.7476052238601633,0.21279059275182707,-0.15787842699402332,,,,,,
Daily Left Tail,9.412260867993455,20.274772704437797,8.505302760812812,,,,,,
Daily Right Tail,-11.297909116449622,-21.414296571800392,-8.785862317140992,,,,,,
Weekly Left Tail,4.528159738668795,7.413962135561725,3.406724466853422,,,,,,
Weekly Right Tail,-3.9852416173240526,-6.205998977190223,1.2777609451911063,,,,,,
Monthly Left Tail,1.8678396415830039,1.7430135624182959,1.502788719108914,,,,,,
Monthly Right Tail,1.0875881808161836,1.250497834010147,1.0202177205575202,,,,,,
Quarterly Left Tail,1.6242332354945144,1.2342422920389875,1.4358887933512907,,,,,,
Quarterly Right Tail,0.9138250676510267,1.060825953804553,1.0620963002969712,,,,,,
Yearly Left Tail,1.979401702349599,0.9637243761228947,1.4209355417754963,,,,,,
Yearly Right Tail,0.7283996046378262,1.2267831510923037,1.1265735427808032,,,,,,
